Project,Firm,Date,Description,Credits,Theme,
Allen Court,OPRCH,2025,"Raiding the City of Worcester's surplus of decommissioned street lights, Allen Court reimagines these traditional lighting components reconfigured as series of wild plant-like creatures. Like a loose collection of unruly seedlings, the lights emerge from the pavement, stretch across the alley, and leaning out to the street.","(Architect) Office of Penn Ruderman Architects (OPRCH)
Image © the Office of Penn Ruderman Architects
",Sites of Culture,
Peddie School Art Center Expansion,ARC/ Architectural Resources Cambridge,2022,"The Peddie School, an independent high school in New Jersey, dreamed of a new performance venue and teaching spaces to celebrate its arts department. The Arts Center Expansion connects to an existing building and encompasses a luminous and acoustically nimble orchestra Room, music practice rooms, a lobby-event space, an airy art studio, and a flexible gallery.","(Architect) ARC/ Architectural Resources Cambridge
(Code) Howe Engineers, (Jeremy Mason);
(Construction Manager) V.J. Scozzari & Sons, Inc., (Rich Alito);
(Civil Engineer) Crest Engineering, (Lorali Totten);
(Specifications) Wil-Spec, (Robb Wilkinson);
(Structural) Harrison Hamnet Structural Engineers, (Mark Gaffney);
(MEP/FP) Kelter & Giligo Consulting Engineers (Gabe Gilligo);
(Acoustics) Acentech, (Jonah Sacks);
(Audio Visual) Acentech, (Brian Masiello);
(Landscaping) Crest Engineering, (Lorali Totten);
(Lighting) LAM Partners, (Glenn Heinmiller);
(Theater) Martin Vinik Planning for the Arts, (Martin Vinik)
Photo © Magda Beirnat
",Sites of Culture,
Lumen - Beacon Park,Touloukian Touloukian,2017,"Situated along Grand River Avenue, the Lumen restaurant at Beacon Park welcomes visitors into the center of downtown Detroit. This urban revitalization project and new public space was created to anchor the emerging neighborhood, spur economic development and provide a quality place for the community in the surging and vibrant downtown district.","(Architect) Touloukian Touloukian
Photo © Anton Grassi Photography
",Sites of Culture,
MASS MoCA Building 6,Bruner/Cott Architects,2017,"MASS MoCA's Building 6 is a new museum made from found buildings where the spectacular interiors of existing mill structures become a three-dimensional underpainting for new, impactful contemporary art galleries. Design interventions weave in and out of over one thousand columns, hundreds of windows, and acres of maple factory floor.","(Architect) Bruner/Cott Architects
(Construction Manager) Gilbane Building Company; 
(Structural Engineer) Arup;
(Mechanical, Plumbing/Fire Protection Engineer) Petersen Engineering, Inc.;
(Electrical Engineer) R.W. Sullivan Engineering;
(Civil Engineer) Hill Engineers;
(Code, Fire Protection Consultant) Cosentini Associates;
(Specifications) Kalin Associates;
(Environmental) GZA GeoEnvironmental, Inc.;
(Acoustics) Acentech;
(Lighting Consultant) Lumen Studio;
(Lighting Design) Collaborative Lighting;
(Cost Estimating) Daedalus;
(Food Service) Colburn Guyette;
(Experiential Graphics) Over,Under;
Photo © Michael Moran
",Sites of Culture,
Kendall/MIT Gateway,NADAAA with Perkins&Will,2023,"The Kendall/MIT Gateway project created an opportunity for MIT to redefine and reconstruct its eastern entry to campus, while at the same time allowing the MBTA to replace an aging subway headhouse and renovate the concourse below. To maintain the porosity of the urban site, a single civic canopy supported by very thin columns was imagined.","(Architect) NADAAA with Perkins&Will
(Landscape Architecture) Hargreaves Jones;
(Structural Engineering) SGH, McNamara Salvia;
(MEP/FP) AHA Consulting Engineers;
(Lighting) SoSo Limited, Lam Partners;
(Code) Jensen Hughes;
(Civil: Nitsch Engineering;
(Geotech) McPhail Associates;
(MIT Graphics) Pentagram;
(Vertical Circulation) Van Deusen and Assoc (VDA).;
(Canopy Fabrication and Design Assist) Lyman-Morse;
(Canopy Composites Engineering) Al Horsmon, Naval Architect;
(Canopy Finite Element (FE) Analysis and Computational Fluid Dynamics (CFD) Analysis) Doyle CFD;
(Building Performance (Wind / Snow Analysis)) RWDI;
(Headhouse Enclosure, Fabrication and Design Assist) Linel and Ipswich Bay Glass;
(CM)  Turner Construction Company, Greg Pease 
Photo © John Horner
",Sites of Culture,
ICA/Boston Watershed,AW–ARCH,2024,"The ICA/Boston Watershed is a seasonal contemporary art space in a repurposed industrial building in East Boston. Once a copper pipe factory, the 15,000-square-foot structure now offers free admission, dynamic exhibitions, and space for community programs. It expands the museum's reach to new audiences, especially East Boston's migrant-heavy population.","(Architect) AW-ARCH
(General Contractor) Stack + Co.;
(Structural Engineer) SGH (Simpson Gumpertz & Heger);
(MEP Engineer) SED Associates Corp.;
(Geotechnical Engineer) Haley & Aldrich;
(Civil Engineer) Samiotes Consultants, Inc.;
(Code Consultant) Building, Fire & Access, Inc.; 
(Specification Writer) Paul DiBona Specifications LLC; 
(Lighting Consultant) Lam Partners;
Photo © Florian Holzherr
",Sites of Culture,
Berklee College of Music,William Rawn Associates,2013,"Fronting on Massachusetts Avenue, this multi-use 370-bed residence hall for Berklee College of Music strengthens the College's multiple connections to the City of Boston. The transparent facade reveals the life of the building while creating an active urban street edge.","(Architect) William Rawn Architects
(Structural Engineer) LeMessurier Consultants, Inc.
(Mechanical / Electrical Engineer) Rist-Frost-Shumway Engineering
(Civil Engineer) Nitsch Engineering
(Landscape Architect) Landworks Studio, Inc.
(Interior Designer) Lab [3.2] Architecture
(Lighting Consultant) Lam Partners, Inc.
(Acoustical Engineer) Walters-Storyk Design Group
(AV Consultant) Acentech
(Photographer) Robert Benson, Bruce T. Martin, Michael D. Spencer, Berklee Instagram @cafshows
Photo © Robert Campbell
",Sites of Culture,
Brooklyn Boulders Somerville,Arrowstreet,2013,"Brooklyn Boulders Somerville envisioned a multifunctional space where fitness, cross-training, yoga, co-working, and large-scale community events like TEDx co-exist. Once an unused warehouse in Somerville's industrial district, this space was thoughtfully reimagined into one of the largest indoor climbing facilities in the Northeast.","(Architect) Arrowstreet;
(Principal-in-Charge) Arrowstreet, (Sean Selby)
Photo © Ed Wonsek Artworks Inc. 
",Sites of Play,
Urban Grove,Arrowstreet,2024,"Urban Grove provides Boston Seaport destination 'The Lawn on D' with an inviting sanctuary, seamlessly blending art, nature, and social connection. Designed to foster interaction, the installation features Canopy Trees, whose mirrored leaves reflect movement and illuminate at night, and Nests, circular seating that provides flexible gathering spaces.","(Architect) Arrowstreet
(Director of Experience Design) Arrowstreet, (Lauren Haggerty)
(Senior Designer) Arrowstreet, (Jenna Carolan)
(Designer)  Arrowstreet, (Diana Khalifeh)
(Designer) Arrowstreet, (Jun Ho Han)  
(Fabricator) Image One/Applied Image (Kyle Wolfe)
Photo © Ed Wonsek ArtWorks Inc. 
",Sites of Play,
Dancing Dragon,Katherine Chin & Parke MacDowell,2024,"Highway construction in the 1960s dismantled a tight-knit community by displacing hundreds of immigrant households along Hudson Street in Boston's Chinatown. Dancing Dragon occupies the small greenspace between these projects to reinforce the cultural identity of Chinatown. Inspired by the spirit of a traditional dragon dance, the undulating canopy resembles the energetic movements of a dragon.","PAYETTE, Beyond Walls, Mayor’s Office of Arts & Culture, Perkins&Will, Utile, Healthy Places by Design, John Hancock, Beyer Blinder Belle Foundation, Boston Global Investors, AARP Massachusetts, UMass Boston, City of Boston Age Strong Commission, John’s Landscape Service, Matt Construction, Concentric Fabrication, BPDA/EDIC, Lawrence Chan, Stantec, Lim Consultants, McPhail Associates, Tufts University, Bozzuto, Maloney Properties, and One Greenway. 
Many individual volunteers invested their time in community design meetings and work sessions. We’re thankful to them and past and present Hudson Street residents for their contributions to the neighborhood.
Photo © Lee-Daniel Tran
",Sites of Play,
Loose Fit,CO-G,2020,"Somewhere between New England cedar shingles and the loose fit of a favorite pair of jeans, the pavilion speaks to the familiarity and nostalgia of our collective favorite things. 80 puffy shingles are stuffed with recycled denim repurposed to building insulation and fabric waste from the garment industry.","(Designer) CO-G
Photo © Sam Balukonis
",Sites of Play,
Parklet,Wentworth Architecture,2024,"The 'Parklet' AKA Place Activators: DfMA systems for promoting wellness, learning and play for the public good explores design as a tool for spatial activation, focusing on how small-scale, community-driven interventions can transform underutilized urban spaces.","(Designer) Wentworth Institute of Technology, Architecture Program
(Student team) Alexa Babcock, Zach Barnes, Robyn Barrios, Molly Brody, Jack Cahill, Rose Currie, Krystal Duong, Jayln Hayden, Kaleb Korona, Ryan Mead, Kelsey Moslow, Abbie Thurber, Jonathan Yiu; 
(Faculty team) Eric Hughes, Rob Trumbour;
(Collaborators) Daniel Wolf, Senior Planner Public Space Lab City of Cambridge Community Development Department
Photo © Jack Cahill
",Sites of Play,
Take a Seat,Architecture for Public Benefit,2025,"Take a Seat offers a welcoming space for BSA visitors to gather, pause, and belong. It encourages lingering, conversation, and informal exchange. Architecture for Public Benefit's modular blue furniture is arranged along a rotated grid, filling both the nook and the adjacent floor area.","Architect: Architecture for Public Benefit
Photo © SIGNALS
",Sites of Play,
Dinner Cozy,French 2D,2022–,"At the smallest domestic scale, Dinner Cozy makes visible the social and physical negotiations of spatial practice via the dinner table. The many-armed tablecloth plays host to up to 28 guests and insists on an acknowledgement of its presence, while enveloping chairs and providing warmth.","(Architect) French2D (Anda French, Jenny French, Michael Chang, Adrian Corbey, Mindy Ma)
Photo © French2D
",Sites of Play,
SUPA System,Joseph Zeal-Henry with Deborah Garcia,2025,"SUPA System asks what music and sound can tell us about how we occupy spaces of power, and aims to inspire new ways of thinking about communal spaces of gathering. A manifesto made physical, SUPA System cites far ranging influences to imagine how the vernacular of infrastructure could create new ways of living.","(Designer) Joseph Zeal-Henry (Design/Curation, Speaker Box Fabrication) with Deborah Garcia (Co-design);
 (Sound Design) White Rabbit Audio;
(Visual Identity) Lauren Harewood, SOAKE;
(Aluminium Frame Fabrication) Tri-Pyramid 
Photo © SIGNALS
",Sites of Play,
Boston City Hall Plaza,Sasaki,2024,Boston City Hall Plaza renovation project by Sasaki transforming the civic space into a more welcoming and accessible public gathering place.,Sasaki,Sites of Welcome,
